parent_seed,model,outer_fold,fit_trajectories,calibration_trajectories,held_out_trajectories,threshold,calibration_feasible,calibration_macro_run_rmse,calibration_data_only_macro_run_rmse,calibration_mean_control_regret,calibration_mean_positive_control_regret,calibration_harm_rate,calibration_maximum_control_regret,calibration_coverage,held_out_macro_run_rmse,held_out_data_only_macro_run_rmse,held_out_mean_control_regret,held_out_mean_positive_control_regret,held_out_harm_rate,held_out_maximum_control_regret,held_out_coverage
2042,logistic_safe,1,48,16,16,0.30210726200856314,True,0.15044140834419817,0.15428548791753613,-0.003844079573337973,0.0025220611773400653,0.0625,0.019259879324682733,0.3202341137123746,0.1565398482831827,0.15894620671041418,-0.0024063584272314676,0.005169959138139423,0.25,0.025381832676942856,0.46503496503496505
2042,logistic_safe,2,48,16,16,0.3524359021685094,True,0.19083937396324563,0.20857018785917478,-0.01773081389592914,0.002107599628772973,0.0625,0.02681190176888376,0.5898692810457516,0.14988459545088395,0.15428548791753613,-0.004400892466652168,0.0018353032010529173,0.0625,0.010314154466638747,0.362876254180602
2042,logistic_safe,3,48,16,16,0.32590159742112496,True,0.1541190344675531,0.15952304589585278,-0.005404011428299718,0.0011514046804675677,0.0,0.007514550096623551,0.4198270126413839,0.20148694352728816,0.20857018785917478,-0.00708324433188659,0.0020280034730005194,0.125,0.017701487376608344,0.6102941176470589
2042,logistic_safe,4,48,16,16,0.2537441171408432,True,0.1829924137076901,0.18633219510006327,-0.0033397813923731704,0.0033675236020995593,0.0625,0.0369093843822943,0.31992337164750956,0.1539445288703904,0.15952304589585278,-0.0055785170254623795,0.0011580902645269304,0.0,0.009728776552902996,0.3140385894876913
2042,extra_trees_safe,0,48,16,16,0.20651866289993528,True,0.15967828926856584,0.15894620671041418,0.0007320825581516545,0.0016077067188459424,0.0625,0.025631225184716153,0.11072261072261072,0.18476899836108368,0.18633219510006327,-0.001563196738979574,0.0007125475113960097,0.0625,0.011400760182336156,0.16475095785440613
2042,extra_trees_safe,1,48,16,16,0.1998279034738624,True,0.1535037731156638,0.15428548791753613,-0.0007817148018723448,0.0004504995357213432,0.0,0.0066691859396571795,0.14046822742474915,0.15821982286820052,0.15894620671041418,-0.0007263838422136687,0.0023071423485421113,0.0625,0.030186961175629787,0.1794871794871795
2042,extra_trees_safe,2,48,16,16,0.25632847702659123,True,0.20493370239459183,0.20857018785917478,-0.003636485464582921,0.0016681579377056215,0.0625,0.015217903038624359,0.33986928104575165,0.15394867906019835,0.15428548791753613,-0.0003368088573377894,0.0009346949500727659,0.0,0.009381033691949772,0.1705685618729097
2042,extra_trees_safe,3,48,16,16,0.15216537961793716,False,0.15952304589585278,0.15952304589585278,0.0,0.0,0.0,0.0,0.0,0.20894689114191517,0.20857018785917478,0.0003767032827404265,0.0009667120640225449,0.0625,0.011570315499540282,0.09313725490196079
2042,extra_trees_safe,4,48,16,16,0.25045292633270916,True,0.18516189433340793,0.18633219510006327,-0.001170300766655332,0.0025257063995290617,0.0625,0.024705398091796837,0.21008939974457216,0.15664296044371312,0.15952304589585278,-0.002880085452139668,0.0005191104254660475,0.0,0.006164212998747032,0.16633399866932802
2042,extra_trees_regret,0,48,16,16,-0.031320151817181535,True,0.15952423151004397,0.15894620671041418,0.0005780247996297972,0.0028858736633540346,0.0625,0.039506217926564044,0.17016317016317017,0.1858990286115073,0.18633219510006327,-0.00043316648855596003,0.005695916330112481,0.125,0.044140204504130365,0.42464878671775225
